giha,1457514
kumfa,1457798
vei,1458082
cevni,1458363
mamta,1458642
platu,1458921
prali,1459200
ckire,1459479
mleca,1459757
purci,1460034
balvi,1460309
iha,1460583
nanmu,1460853
xukau,1461123
senva,1461392
jbovla,1461661
mansa,1461927
klaku,1462192
guskant,1462457
porsi,1462722
kohoi,1462987
caku,1463252
and,1463517
litru,1463782
kantu,1464045
xoi,1464308
brodi,1464570
ihi,1464832
omni,1465094
selsaha,1465356
snime,1465618
fenki,1465879
cortu,1466140
bajra,1466401
xagji,1466662
nicte,1466922
loglo,1467182
ditcu,1467442
selkei,1467702
slaka,1467962
ceho,1468221
notci,1468480
raho,1468738
minde,1468996
jatna,1469253
cikna,1469509
spero,1469765
skaip,1470020
not,1470272
bai,1470523
Ilmen,1470773
kulnu,1471023
noroi,1471273
xaho,1471522
sampre,1471771
jitro,1472020
spusku,1472269
menre,1472518
cerni,1472766
danlu,1473014
tezuhe,1473261
stura,1473506
xorlo,1473750
dotco,1473994
marji,1474237
oha,1474479
jeftu,1474720
sisti,1474961
tcini,1475201
jboguhe,1475441
jenai,1475679
sisi,1475916
bartu,1476153
pohu,1476389
karce,1476625
seho,1476861
pampeho,1477096
CLL,1477331
dihe,1477565
ehe,1477798
faho,1478029
uhisai,1478260
lanli,1478489
stuzi,1478718
or,1478947
nice,1479175
verba,1479403
roroi,1479631
girzu,1479858
cmaci,1480085
bredi,1480311
mohe,1480537
bripre,1480762
suhi,1480987
dasni,1481211
cedra,1481435
ckiku,1481659
rehi,1481882
sumtcita,1482105
cidja,1482327
tcaci,1482549
mai,1482770
vedli,1482990
cuhu,1483209
uasai,1483428
zihevla,1483647
bihunai,1483864
bahu,1484079
vuho,1484293
foha,1484506
gentufa,1484718
rusko,1484930
lerci,1485142
lojbab,1485354
fancu,1485566
yy,1485778
lidne,1485989
skohopu,1486198
jitfa,1486407
lenku,1486616
gimste,1486825
glare,1487034
di,1487242
tolzdi,1487449
gusni,1487656
lohi,1487862
naho,1488068
nihi,1488272
gohoi,1488476
muho,1488680
pruce,1488884
brodo,1489087
cehai,1489289
oho,1489489
cohoi,1489689
jungo,1489888
bahanai,1490087
ninmu,1490286
tsali,1490483
vy,1490680
velski,1490876
tokpona,1491071
masti,1491265
zuhe,1491459
prije,1491652
samselpla,1491845
cifnu,1492038
skari,1492231
kehe,1492424
speni,1492617
ze,1492810
junri,1493002
daspo,1493194
rirni,1493385
cnegau,1493576
saske,1493766
gihenai,1493956
cohi,1494146
cupra,1494336
salci,1494523
besna,1494709
remoi,1494894
terdi,1495079
go,1495264
mentu,1495449
sarxe,1495634
klani,1495818
velcki,1496001
bi,1496184
kurji,1496367
puhi,1496549
durkavore,1496731
koho,1496912
xendo,1497093
tertaha,1497274
vlipa,1497455
cadzu,1497636
zehe,1497816
nejni,1497996
crino,1498175
fabu,1498354
mipri,1498533
damba,1498712
seljahe,1498891
blanu,1499070
gaha,1499249
luhu,1499428
title,1499606
proga,1499784
canko,1499962
nope,1500139
jy,1500316
ganzu,1500493
fasybau,1500669
stedu,1500845
patfu,1501021
lai,1501197
xamsku,1501372
fukpi,1501547
moha,1501722
reisku,1501897
spano,1502071
favgau,1502244
jbotaha,1502417
toihe,1502590
jdika,1502763
krefu,1502935
pehu,1503106
minji,1503277
zahurehu,1503448
tricu,1503619
camgusmis,1503790
staile,1503960
ruhi,1504130
vanci,1504299
gihi,1504468
ckini,1504637
bihai,1504805
rejgau,1504973
vensa,1505141
prosa,1505308
jehi,1505475
datni,1505642
jei,1505808
canci,1505974
malgli,1506140
fengu,1506305
ganai,1506469
bruna,1506632
for,1506795
nei,1506958
sehu,1507121
zilkai,1507283
fagri,1507445
fircku,1507607
falo,1507769
cei,1507930
lanzu,1508091
boxna,1508251
bevri,1508411
po,1508570
falonu,1508729
noha,1508888
lau,1509046
sfehero,1509203
dehu,1509360
tersuhi,1509517
lahau,1509674
misno,1509831
darno,1509988
spoja,1510144
sivni,1510299
xadni,1510453
rokci,1510607
vlasisku,1510761
kunti,1510914
briju,1511067
cnimaho,1511220
gubni,1511373
nehi,1511525
danmo,1511677
xoho,1511829
kanla,1511981
mulgau,1512133
xanka,1512285
pinka,1512436
fanta,1512587
ningau,1512737
ponbau,1512887
mrobiho,1513037
rarbau,1513187
jaspu,1513336
mambl,1513484
uisai,1513632
krati,1513780
ienai,1513928
cylyly,1514076
dinju,1514224
sahei,1514371
lindar,1514518
zmanei,1514665
palci,1514812
citno,1514959
example,1515106
sepli,1515252
citri,1515398
gihu,1515543
famymaho,1515688
batke,1515833
grute,1515978
vacysai,1516122
solri,1516266
blabi,1516409
juhocuhi,1516552
finpe,1516695
febu,1516838
tu,1516980
djan,1517122
tanbo,1517263
lahedihu,1517404
snuti,1517545
nanba,1517686
jetmlu,1517826
mehi,1517966
kiho,1518106
kevna,1518245
brivo,1518384
c,1518523
mikce,1518661
fuhe,1518799
muhumgu,1518936
juhinai,1519073
vofli,1519210
pona,1519347
roda,1519483
tcita,1519619
dansu,1519755
korpora,1519890
xunai,1520025
paunai,1520160
jbobo,1520294
detri,1520428
sazri,1520561
the,1520694
nahei,1520827
jahai,1520960
bloti,1521093
jbonunsla,1521226
xirma,1521359
zohoruhe,1521491
selsau,1521623
zasni,1521755
ckape,1521887
sorcu,1522019
farvi,1522150
ahoi,1522281
rivbi,1522412
I,1522542
